iter	Passed	Remaining
0	136	136446
1	137	68600
2	138	45957
3	138	34604
4	139	27783
5	140	23243
6	140	19996
7	141	17568
8	142	15661
9	142	14139
10	143	12893
11	143	11854
12	144	10970
13	145	10217
14	145	9574
15	146	9019
16	147	8526
17	148	8078
18	148	7678
19	149	7321
20	150	6999
21	150	6701
22	151	6425
23	151	6175
24	152	5942
25	152	5726
26	153	5528
27	153	5343
28	154	5171
29	155	5014
30	155	4866
31	156	4726
32	156	4594
33	157	4470
34	157	4353
35	158	4242
36	159	4139
37	159	4040
38	160	3946
39	160	3857
40	161	3777
41	162	3702
42	162	3627
43	163	3555
44	164	3485
45	164	3418
46	165	3352
47	165	3289
48	166	3228
49	166	3169
50	167	3114
51	168	3066
52	168	3014
53	169	2966
54	169	2918
55	170	2871
56	170	2827
57	171	2783
58	171	2741
59	172	2701
60	172	2662
61	173	2626
62	174	2590
63	174	2554
64	175	2519
65	175	2486
66	176	2456
67	177	2427
68	177	2401
69	178	2374
70	179	2345
71	179	2319
72	180	2293
73	181	2266
74	181	2240
75	182	2215
76	182	2190
77	183	2166
78	183	2142
79	184	2119
80	184	2096
81	185	2074
82	185	2050
83	186	2029
84	186	2008
85	187	1988
86	187	1969
87	188	1949
88	188	1930
89	189	1912
90	189	1894
91	190	1876
92	190	1859
93	191	1845
94	192	1834
95	193	1820
96	194	1807
97	194	1792
98	195	1776
99	195	1761
100	196	1747
101	196	1732
102	197	1718
103	197	1705
104	198	1691
105	198	1677
106	199	1664
107	200	1652
108	200	1639
109	201	1627
110	201	1615
111	202	1603
112	202	1591
113	203	1579
114	203	1568
115	204	1556
116	204	1544
117	205	1534
118	205	1524
119	206	1516
120	207	1507
121	208	1497
122	208	1487
123	209	1478
124	209	1468
125	210	1459
126	210	1448
127	211	1439
128	211	1430
129	212	1421
130	212	1412
131	213	1403
132	213	1394
133	214	1386
134	215	1377
135	215	1369
136	216	1361
137	216	1353
138	217	1344
139	217	1337
140	218	1329
141	218	1321
142	219	1313
143	219	1307
144	220	1300
145	221	1295
146	222	1290
147	223	1284
148	223	1278
149	224	1272
150	225	1266
151	225	1259
152	226	1253
153	226	1246
154	227	1241
155	228	1235
156	228	1228
157	229	1222
158	229	1216
159	230	1210
160	230	1203
161	231	1197
162	232	1191
163	232	1185
164	233	1179
165	233	1175
166	234	1169
167	235	1164
168	235	1159
169	236	1155
170	237	1151
171	238	1147
172	239	1142
173	239	1138
174	240	1133
175	240	1127
176	241	1122
177	242	1117
178	242	1112
179	243	1107
180	243	1102
181	244	1098
182	244	1093
183	245	1089
184	246	1085
185	247	1081
186	247	1078
187	248	1073
188	249	1071
189	250	1066
190	250	1062
191	251	1058
192	252	1054
193	252	1050
194	253	1046
195	254	1042
196	255	1039
197	255	1036
198	256	1032
199	256	1027
200	257	1023
201	258	1019
202	258	1015
203	259	1011
204	259	1007
205	260	1003
206	260	999
207	261	995
208	262	991
209	262	987
210	263	984
211	263	980
212	264	977
213	265	973
214	265	970
215	266	966
216	267	964
217	267	961
218	268	958
219	269	955
220	270	952
221	270	948
222	271	944
223	271	941
224	272	938
225	272	934
226	273	931
227	274	927
228	274	924
229	275	920
230	275	917
231	276	914
232	276	911
233	277	908
234	278	905
235	279	903
236	280	901
237	280	898
238	281	895
239	282	893
240	282	890
241	283	887
242	284	884
243	284	881
244	285	878
245	285	875
246	286	872
247	286	869
248	287	866
249	287	863
250	288	860
251	288	857
252	289	854
253	289	851
254	290	848
255	290	845
256	291	842
257	291	839
258	292	836
259	293	834
260	293	831
261	294	828
262	294	825
263	295	822
264	295	819
265	296	817
266	296	814
267	297	812
268	298	810
269	298	808
270	299	805
271	300	803
272	300	801
273	301	798
274	301	795
275	302	793
276	302	790
277	303	788
278	304	785
279	304	783
280	305	780
281	305	778
282	306	775
283	306	773
284	307	770
285	307	768
286	308	766
287	308	763
288	309	761
289	310	759
290	310	756
291	311	754
292	311	752
293	312	750
294	313	748
295	313	746
296	314	743
297	314	741
298	315	739
299	316	737
300	316	735
301	317	732
302	317	730
303	318	728
304	319	727
305	319	725
306	320	723
307	320	721
308	321	718
309	322	716
310	322	714
311	323	712
312	323	710
313	324	707
314	324	705
315	325	703
316	325	701
317	326	699
318	326	697
319	327	696
320	328	695
321	329	693
322	330	692
323	330	690
324	331	688
325	331	686
326	332	684
327	333	682
328	333	680
329	334	678
330	334	676
331	335	674
332	335	672
333	336	670
334	336	668
335	337	666
336	337	664
337	338	662
338	339	661
339	339	659
340	340	657
341	340	655
342	341	653
343	341	651
344	342	650
345	343	648
346	343	647
347	344	645
348	345	644
349	345	642
350	346	640
351	347	638
352	347	637
353	348	635
354	348	633
355	349	632
356	350	630
357	350	629
358	351	627
359	351	625
360	353	625
361	353	623
362	354	622
363	355	620
364	355	619
365	356	617
366	357	616
367	358	614
368	358	613
369	359	612
370	360	610
371	361	609
372	361	608
373	362	606
374	363	605
375	363	603
376	364	601
377	364	600
378	365	598
379	365	596
380	366	595
381	366	593
382	367	591
383	367	590
384	368	588
385	368	586
386	369	585
387	369	583
388	370	581
389	370	580
390	371	578
391	372	577
392	372	576
393	373	575
394	374	573
395	375	572
396	375	570
397	376	569
398	376	567
399	377	566
400	377	564
401	378	562
402	378	561
403	379	559
404	379	558
405	380	556
406	380	555
407	381	553
408	382	552
409	382	550
410	383	549
411	383	547
412	384	545
413	384	544
414	385	542
415	385	541
416	386	539
417	386	538
418	387	537
419	388	535
420	388	534
421	389	533
422	390	532
423	390	530
424	391	529
425	392	528
426	392	526
427	393	525
428	393	524
429	394	522
430	394	521
431	395	519
432	395	518
433	396	516
434	396	515
435	397	514
436	398	512
437	398	511
438	399	510
439	399	508
440	400	507
441	400	505
442	401	504
443	401	503
444	402	502
445	403	500
446	403	499
447	404	498
448	405	497
449	405	496
450	406	494
451	406	493
452	407	492
453	408	490
454	408	489
455	409	488
456	409	486
457	410	485
458	410	484
459	411	482
460	411	481
461	412	480
462	412	478
463	413	477
464	413	476
465	414	474
466	414	473
467	415	472
468	416	470
469	416	469
470	417	468
471	418	467
472	419	466
473	419	465
474	420	464
475	421	463
476	421	462
477	422	460
478	422	459
479	423	458
480	423	457
481	424	455
482	425	455
483	425	453
484	426	452
485	426	451
486	427	450
487	427	449
488	428	447
489	429	446
490	429	445
491	430	444
492	430	442
493	431	441
494	431	440
495	432	439
496	433	438
497	434	437
498	434	436
499	435	435
500	435	434
501	436	432
502	437	431
503	437	430
504	438	429
505	438	428
506	439	427
507	440	426
508	440	425
509	441	424
510	442	422
511	442	421
512	443	420
513	443	419
514	444	418
515	444	417
516	445	416
517	446	415
518	447	414
519	447	413
520	448	412
521	449	411
522	450	410
523	450	409
524	451	408
525	452	407
526	452	406
527	453	405
528	453	403
529	454	402
530	454	401
531	455	400
532	455	399
533	456	398
534	456	397
535	457	396
536	457	394
537	458	393
538	459	392
539	459	391
540	460	390
541	460	389
542	461	388
543	461	387
544	462	386
545	462	384
546	463	383
547	464	383
548	465	382
549	465	381
550	466	380
551	466	378
552	467	377
553	467	376
554	468	375
555	469	374
556	469	373
557	470	372
558	470	371
559	471	370
560	471	369
561	472	368
562	473	367
563	473	366
564	474	365
565	474	364
566	475	362
567	475	361
568	476	360
569	477	359
570	477	358
571	478	357
572	479	357
573	479	356
574	480	355
575	481	354
576	481	353
577	482	352
578	483	351
579	483	350
580	484	349
581	485	348
582	485	347
583	486	346
584	487	345
585	487	344
586	488	343
587	488	342
588	489	341
589	489	340
590	490	339
591	490	338
592	491	337
593	492	336
594	492	335
595	493	334
596	493	333
597	494	332
598	495	331
599	495	330
600	496	329
601	497	328
602	497	327
603	498	326
604	499	325
605	499	324
606	500	324
607	501	323
608	502	322
609	502	321
610	503	320
611	503	319
612	504	318
613	504	317
614	505	316
615	506	315
616	506	314
617	506	313
618	507	312
619	507	311
620	508	310
621	509	309
622	510	308
623	511	308
624	511	307
625	512	306
626	512	305
627	513	304
628	513	303
629	514	302
630	515	301
631	515	300
632	516	299
633	517	298
634	518	297
635	518	296
636	519	295
637	519	294
638	520	294
639	520	293
640	521	292
641	522	291
642	522	290
643	523	289
644	524	288
645	524	287
646	525	286
647	526	286
648	527	285
649	527	284
650	528	283
651	529	282
652	529	281
653	530	280
654	531	280
655	532	279
656	533	278
657	533	277
658	534	276
659	535	275
660	535	274
661	536	273
662	537	272
663	537	272
664	538	271
665	539	270
666	539	269
667	540	268
668	541	267
669	542	266
670	542	266
671	543	265
672	543	264
673	544	263
674	545	262
675	546	261
676	546	260
677	547	259
678	547	259
679	548	258
680	548	257
681	549	256
682	550	255
683	550	254
684	551	253
685	551	252
686	552	251
687	552	250
688	553	249
689	554	249
690	555	248
691	556	247
692	556	246
693	558	246
694	558	245
695	559	244
696	559	243
697	561	242
698	561	241
699	562	241
700	563	240
701	564	239
702	564	238
703	565	237
704	565	236
705	566	235
706	567	235
707	567	234
708	568	233
709	569	232
710	570	231
711	571	231
712	571	230
713	572	229
714	573	228
715	573	227
716	574	226
717	574	225
718	575	225
719	576	224
720	577	223
721	577	222
722	578	221
723	579	220
724	579	219
725	580	219
726	581	218
727	581	217
728	582	216
729	582	215
730	583	214
731	584	214
732	585	213
733	586	212
734	586	211
735	587	210
736	588	209
737	588	208
738	589	208
739	589	207
740	590	206
741	591	205
742	591	204
743	592	203
744	593	203
745	594	202
746	594	201
747	595	200
748	596	199
749	596	198
750	597	197
751	598	197
752	598	196
753	599	195
754	600	194
755	601	194
756	601	193
757	602	192
758	602	191
759	603	190
760	604	189
761	605	189
762	606	188
763	606	187
764	607	186
765	608	185
766	609	185
767	609	184
768	610	183
769	610	182
770	611	181
771	612	180
772	612	179
773	613	179
774	614	178
775	615	177
776	616	176
777	617	176
778	617	175
779	618	174
780	619	173
781	619	172
782	620	172
783	621	171
784	622	170
785	623	169
786	623	168
787	624	168
788	625	167
789	625	166
790	626	165
791	627	164
792	627	163
793	628	163
794	629	162
795	630	161
796	630	160
797	631	159
798	632	158
799	632	158
800	633	157
801	633	156
802	634	155
803	635	154
804	635	154
805	636	153
806	637	152
807	638	151
808	639	150
809	639	150
810	640	149
811	640	148
812	641	147
813	642	146
814	643	146
815	644	145
816	645	144
817	646	143
818	646	142
819	647	142
820	648	141
821	648	140
822	649	139
823	650	138
824	651	138
825	652	137
826	652	136
827	653	135
828	655	135
829	656	134
830	656	133
831	657	132
832	657	131
833	658	131
834	659	130
835	660	129
836	661	128
837	661	127
838	662	127
839	662	126
840	663	125
841	664	124
842	665	123
843	665	123
844	666	122
845	667	121
846	668	120
847	668	119
848	669	119
849	669	118
850	670	117
851	671	116
852	671	115
853	672	114
854	672	114
855	674	113
856	675	112
857	675	111
858	676	111
859	676	110
860	677	109
861	677	108
862	678	107
863	679	106
864	680	106
865	680	105
866	681	104
867	682	103
868	682	102
869	683	102
870	684	101
871	684	100
872	685	99
873	685	98
874	686	98
875	687	97
876	687	96
877	688	95
878	688	94
879	689	94
880	690	93
881	691	92
882	691	91
883	692	90
884	692	90
885	693	89
886	694	88
887	695	87
888	695	86
889	696	86
890	697	85
891	697	84
892	698	83
893	699	82
894	699	82
895	700	81
896	700	80
897	701	79
898	701	78
899	702	78
900	702	77
901	703	76
902	704	75
903	705	74
904	705	74
905	706	73
906	706	72
907	707	71
908	708	70
909	709	70
910	709	69
911	710	68
912	711	67
913	711	66
914	712	66
915	713	65
916	713	64
917	714	63
918	714	62
919	715	62
920	715	61
921	716	60
922	716	59
923	717	59
924	717	58
925	718	57
926	719	56
927	720	55
928	721	55
929	721	54
930	722	53
931	722	52
932	723	51
933	724	51
934	725	50
935	725	49
936	726	48
937	727	48
938	727	47
939	728	46
940	728	45
941	729	44
942	730	44
943	731	43
944	731	42
945	732	41
946	732	41
947	733	40
948	734	39
949	735	38
950	735	37
951	736	37
952	737	36
953	737	35
954	738	34
955	739	34
956	740	33
957	740	32
958	741	31
959	742	30
960	743	30
961	743	29
962	744	28
963	744	27
964	745	27
965	745	26
966	746	25
967	747	24
968	747	23
969	748	23
970	749	22
971	749	21
972	750	20
973	751	20
974	751	19
975	752	18
976	753	17
977	754	16
978	754	16
979	755	15
980	755	14
981	756	13
982	757	13
983	757	12
984	758	11
985	759	10
986	760	10
987	760	9
988	761	8
989	762	7
990	762	6
991	763	6
992	763	5
993	764	4
994	765	3
995	765	3
996	766	2
997	767	1
998	768	0
999	768	0
